step,time_s,x_robot,y_robot,angulo_grados,action
0,0.0,-0.375,0.375,0.0,AVANZAR
1,0.032,-0.3725,0.375,-0.14,AVANZAR
2,0.064,-0.3699,0.375,-0.14,AVANZAR
3,0.096,-0.3673,0.375,-0.14,AVANZAR
4,0.128,-0.3648,0.375,-0.14,AVANZAR
5,0.16,-0.3622,0.375,-0.14,AVANZAR
6,0.192,-0.3596,0.375,-0.14,AVANZAR
7,0.224,-0.3571,0.375,0.0,AVANZAR
8,0.256,-0.3546,0.375,-0.14,AVANZAR
9,0.288,-0.352,0.375,-0.14,AVANZAR
10,0.32,-0.3494,0.3749,-0.14,AVANZAR
11,0.352,-0.3469,0.3749,-0.14,AVANZAR
12,0.384,-0.3443,0.3749,-0.14,AVANZAR
13,0.416,-0.3417,0.3749,-0.14,AVANZAR
14,0.448,-0.3391,0.3749,-0.14,AVANZAR
15,0.48,-0.3367,0.3749,-0.14,AVANZAR
16,0.512,-0.3341,0.3749,-0.14,AVANZAR
17,0.544,-0.3316,0.3749,-0.14,AVANZAR
18,0.576,-0.329,0.3749,-0.14,AVANZAR
19,0.608,-0.3264,0.3749,-0.14,AVANZAR
20,0.64,-0.3238,0.3749,-0.14,AVANZAR
21,0.672,-0.3213,0.3749,-0.14,AVANZAR
22,0.704,-0.3188,0.3749,-0.14,AVANZAR
23,0.736,-0.3162,0.3749,-0.14,AVANZAR
24,0.768,-0.3137,0.3749,-0.14,AVANZAR
25,0.8,-0.3111,0.3749,-0.14,AVANZAR
26,0.832,-0.3085,0.3748,-0.14,AVANZAR
27,0.864,-0.3059,0.3748,-0.14,AVANZAR
28,0.896,-0.3034,0.3748,-0.14,AVANZAR
29,0.928,-0.3008,0.3748,0.0,AVANZAR
30,0.96,-0.2983,0.3748,-0.14,AVANZAR
31,0.992,-0.2958,0.3748,-0.14,AVANZAR
32,1.024,-0.2932,0.3748,-0.14,AVANZAR
33,1.056,-0.2906,0.3748,-0.14,AVANZAR
34,1.088,-0.288,0.3748,-0.14,AVANZAR
35,1.12,-0.2855,0.3748,-0.14,AVANZAR
36,1.152,-0.283,0.3748,0.0,AVANZAR
37,1.184,-0.2804,0.3748,-0.14,AVANZAR
38,1.216,-0.2779,0.3748,-0.14,AVANZAR
39,1.248,-0.2753,0.3748,-0.14,AVANZAR
40,1.28,-0.2727,0.3748,-0.14,AVANZAR
41,1.312,-0.2701,0.3748,-0.14,AVANZAR
42,1.344,-0.2676,0.3748,-0.14,AVANZAR
43,1.376,-0.2651,0.3748,0.0,AVANZAR
44,1.408,-0.2625,0.3747,-0.14,AVANZAR
45,1.44,-0.26,0.3747,-0.14,AVANZAR
46,1.472,-0.2574,0.3747,-0.14,AVANZAR
47,1.504,-0.2548,0.3747,-0.14,AVANZAR
48,1.536,-0.2522,0.3747,-0.14,AVANZAR
49,1.568,-0.2497,0.3747,-0.14,AVANZAR
50,1.6,-0.2472,0.3747,0.0,AVANZAR
51,1.632,-0.2447,0.3747,-0.14,AVANZAR
52,1.664,-0.2421,0.3747,-0.14,AVANZAR
53,1.696,-0.2395,0.3747,-0.14,AVANZAR
54,1.728,-0.2369,0.3747,-0.14,AVANZAR
55,1.76,-0.2344,0.3747,-0.14,AVANZAR
56,1.792,-0.2318,0.3747,-0.14,AVANZAR
57,1.824,-0.2293,0.3747,-0.0,AVANZAR
58,1.856,-0.2268,0.3747,-0.14,AVANZAR
59,1.888,-0.2242,0.3747,-0.14,AVANZAR
60,1.92,-0.2216,0.3747,-0.14,AVANZAR
61,1.952,-0.219,0.3747,-0.14,AVANZAR
62,1.984,-0.2165,0.3746,-0.14,AVANZAR
63,2.016,-0.2139,0.3746,-0.14,AVANZAR
64,2.048,-0.2114,0.3746,0.0,AVANZAR
65,2.08,-0.2089,0.3746,-0.14,AVANZAR
66,2.112,-0.2063,0.3746,-0.14,AVANZAR
67,2.144,-0.2037,0.3746,-0.14,AVANZAR
