step,time_s,x_robot,y_robot,angulo_grados,action
0,0.0,-0.375,0.375,-90.0,GIRANDO
1,0.032,-0.375,0.3749,-84.47,GIRANDO
2,0.064,-0.375,0.3749,-79.08,GIRANDO
3,0.096,-0.375,0.3749,-73.97,GIRANDO
4,0.128,-0.375,0.3749,-69.15,GIRANDO
5,0.16,-0.375,0.3749,-64.89,GIRANDO
6,0.192,-0.375,0.3749,-60.64,GIRANDO
7,0.224,-0.375,0.3749,-56.66,GIRANDO
8,0.256,-0.375,0.3749,-53.26,GIRANDO
9,0.288,-0.375,0.3749,-49.86,GIRANDO
10,0.32,-0.375,0.3749,-46.45,GIRANDO
11,0.352,-0.375,0.3749,-43.61,GIRANDO
12,0.384,-0.375,0.3749,-40.78,GIRANDO
13,0.416,-0.375,0.3749,-38.22,GIRANDO
14,0.448,-0.375,0.3749,-35.67,GIRANDO
15,0.48,-0.375,0.3749,-33.4,GIRANDO
16,0.512,-0.375,0.3749,-31.42,GIRANDO
17,0.544,-0.375,0.3749,-29.43,GIRANDO
18,0.576,-0.375,0.3749,-27.44,GIRANDO
19,0.608,-0.375,0.3749,-25.74,GIRANDO
20,0.64,-0.375,0.3749,-24.04,GIRANDO
21,0.672,-0.375,0.3749,-22.34,GIRANDO
22,0.704,-0.375,0.3749,-20.92,GIRANDO
23,0.736,-0.375,0.3749,-19.78,GIRANDO
24,0.768,-0.375,0.3749,-18.37,GIRANDO
25,0.8,-0.375,0.3749,-17.23,GIRANDO
26,0.832,-0.375,0.3749,-16.1,GIRANDO
27,0.864,-0.375,0.3749,-15.24,GIRANDO
28,0.896,-0.375,0.3749,-14.11,GIRANDO
29,0.928,-0.375,0.3749,-13.26,GIRANDO
30,0.96,-0.375,0.3749,-12.41,GIRANDO
31,0.992,-0.375,0.3749,-11.56,GIRANDO
32,1.024,-0.375,0.3749,-10.99,GIRANDO
33,1.056,-0.375,0.3749,-10.14,GIRANDO
34,1.088,-0.375,0.3749,-9.57,GIRANDO
35,1.12,-0.375,0.3749,-9.0,GIRANDO
36,1.152,-0.375,0.3749,-8.44,GIRANDO
37,1.184,-0.375,0.3749,-7.87,GIRANDO
38,1.216,-0.375,0.3749,-7.3,GIRANDO
39,1.248,-0.375,0.3749,-6.73,GIRANDO
40,1.28,-0.375,0.3749,-6.45,GIRANDO
41,1.312,-0.375,0.3749,-5.88,GIRANDO
42,1.344,-0.375,0.3749,-5.6,GIRANDO
43,1.376,-0.375,0.3749,-5.31,GIRANDO
44,1.408,-0.375,0.3749,-4.75,GIRANDO
45,1.44,-0.375,0.3749,-4.46,GIRANDO
46,1.472,-0.375,0.3749,-4.18,GIRANDO
47,1.504,-0.375,0.3749,-3.9,GIRANDO
48,1.536,-0.375,0.3749,-3.9,GIRANDO
49,1.568,-0.375,0.3749,-3.61,GIRANDO
50,1.6,-0.375,0.3749,-3.33,GIRANDO
51,1.632,-0.375,0.3749,-3.05,GIRANDO
52,1.664,-0.375,0.3749,-2.76,AVANZAR
53,1.696,-0.3724,0.3748,-2.76,AVANZAR
54,1.728,-0.3699,0.3747,-2.9,GIRANDO
55,1.76,-0.3699,0.3747,-2.62,AVANZAR
56,1.792,-0.3673,0.3746,-2.62,AVANZAR
57,1.824,-0.3648,0.3745,-2.62,AVANZAR
58,1.856,-0.3622,0.3743,-2.62,AVANZAR
59,1.888,-0.3597,0.3742,-2.76,GIRANDO
60,1.92,-0.3597,0.3742,-2.48,AVANZAR
61,1.952,-0.3571,0.3741,-2.48,AVANZAR
62,1.984,-0.3545,0.374,-2.48,AVANZAR
63,2.016,-0.352,0.3739,-2.48,AVANZAR
64,2.048,-0.3494,0.3738,-2.48,AVANZAR
65,2.08,-0.347,0.3737,-2.48,AVANZAR
66,2.112,-0.3444,0.3736,-2.48,AVANZAR
67,2.144,-0.3418,0.3734,-2.48,GIRANDO
68,2.176,-0.3418,0.3734,-2.34,AVANZAR
69,2.208,-0.3392,0.3733,-2.19,AVANZAR
70,2.24,-0.3367,0.3732,-2.34,AVANZAR
71,2.272,-0.3342,0.3731,-2.19,AVANZAR
72,2.304,-0.3317,0.373,-2.19,AVANZAR
73,2.336,-0.3291,0.3729,-2.19,AVANZAR
74,2.368,-0.3265,0.3728,-2.19,AVANZAR
75,2.4,-0.3239,0.3727,-2.19,AVANZAR
76,2.432,-0.3214,0.3727,-2.05,AVANZAR
77,2.464,-0.3189,0.3726,-2.19,GIRANDO
78,2.496,-0.3189,0.3726,-2.05,AVANZAR
79,2.528,-0.3163,0.3725,-1.91,AVANZAR
80,2.56,-0.3138,0.3724,-1.91,AVANZAR
81,2.592,-0.3112,0.3723,-1.91,AVANZAR
82,2.624,-0.3086,0.3722,-1.91,AVANZAR
83,2.656,-0.3061,0.3721,-2.05,GIRANDO
84,2.688,-0.3061,0.3721,-1.77,AVANZAR
85,2.72,-0.3035,0.372,-1.77,AVANZAR
86,2.752,-0.301,0.372,-1.77,AVANZAR
87,2.784,-0.2984,0.3719,-1.77,AVANZAR
88,2.816,-0.2958,0.3718,-1.77,AVANZAR
89,2.848,-0.2933,0.3717,-1.91,GIRANDO
90,2.88,-0.2933,0.3717,-1.63,AVANZAR
91,2.912,-0.2907,0.3717,-1.63,AVANZAR
92,2.944,-0.2882,0.3716,-1.63,AVANZAR
93,2.976,-0.2857,0.3715,-1.48,AVANZAR
94,3.008,-0.2831,0.3714,-1.48,AVANZAR
95,3.04,-0.2806,0.3714,-1.63,GIRANDO
96,3.072,-0.2806,0.3714,-1.34,AVANZAR
97,3.104,-0.278,0.3713,-1.34,AVANZAR
98,3.136,-0.2754,0.3713,-1.34,AVANZAR
99,3.168,-0.2728,0.3712,-1.34,AVANZAR
100,3.2,-0.2703,0.3711,-1.34,GIRANDO
101,3.232,-0.2703,0.3711,-1.2,AVANZAR
102,3.264,-0.2678,0.3711,-1.2,AVANZAR
103,3.296,-0.2652,0.371,-1.2,AVANZAR
104,3.328,-0.2626,0.371,-1.2,GIRANDO
105,3.36,-0.2627,0.371,-1.06,AVANZAR
106,3.392,-0.2601,0.3709,-1.06,AVANZAR
107,3.424,-0.2575,0.3709,-1.06,AVANZAR
108,3.456,-0.255,0.3708,-1.06,GIRANDO
109,3.488,-0.255,0.3708,-0.78,AVANZAR
110,3.52,-0.2524,0.3708,-0.78,AVANZAR
111,3.552,-0.2499,0.3708,-0.92,AVANZAR
112,3.584,-0.2473,0.3707,-0.92,GIRANDO
113,3.616,-0.2473,0.3707,-0.63,AVANZAR
114,3.648,-0.2447,0.3707,-0.63,AVANZAR
115,3.68,-0.2421,0.3707,-0.63,AVANZAR
116,3.712,-0.2396,0.3706,-0.78,GIRANDO
117,3.744,-0.2396,0.3706,-0.49,AVANZAR
118,3.776,-0.2371,0.3706,-0.49,AVANZAR
